Series Name,Series Code,Country Name,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,New Zealand,..,0.120735131,21.3866578,23.64906206,24.99922164,26.68827707,28.52112581,29.20705293,30.97982598,31.56603565,32.39907664,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Nicaragua,..,0.013723015,0.762387608,1.369902368,1.258611637,1.44098046,1.690863061,2.165734339,1.805870355,1.858991674,2.791422884,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Niger,..,..,0.004186487,0.006534689,0.009437674,0.012803227,0.021384805,0.035892003,0.049636354,0.057088349,0.067888574,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Nigeria,..,..,0.044823002,0.052746468,0.062055837,..,0.008457431,0.008665709,0.008817092,0.007896539,0.014891556,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Northern Mariana Islands,..,..,..,..,..,..,..,..,..,..,..,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Norway,..,0.518682546,33.01483505,34.49873843,35.23341983,36.1198393,37.20005006,37.89103037,38.82872172,39.71267249,40.37083807,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Oman,..,..,1.251078167,1.544406329,2.089220371,2.585879143,3.419552378,4.247553438,4.509445072,5.609576065,6.190953212,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Pakistan,..,..,0.100643033,0.230242691,0.455957357,0.662045266,0.846622047,0.89386286,1.084995545,0.953099019,0.859311935,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Palau,..,..,0.548744315,0.697994495,1.167562286,2.513830923,4.326876747,8.62893202,5.261411575,5.748907989,..,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Panama,..,..,5.521066673,6.482051503,7.0223766,7.56207687,7.751636452,7.951668793,7.897698864,7.928250347,9.548675545,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Papua New Guinea,..,..,0.045596948,0.066414818,0.08893496,0.106944597,0.128365943,0.154344975,0.176562457,0.196545542,0.21827333,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Paraguay,..,0.002803606,0.205259617,1.219951593,1.385400391,1.827160013,2.035960075,2.301811374,2.67615303,3.140335865,3.350441407,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Peru,..,0.004146141,2.534662296,2.86049054,3.186646678,4.091749531,4.81123657,5.309563731,5.74296395,6.416508727,6.721873355,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Philippines,..,..,1.157133017,1.874496117,..,1.884203303,2.219699958,2.614804906,2.897204314,4.783941598,5.457909609,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Poland,..,..,11.6855642,14.65167284,15.33688245,18.24945259,18.02541074,18.39789139,18.92661232,19.00901334,19.22085468,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Portugal,..,0.244066868,15.47252046,18.0690491,20.08244355,21.16545125,22.54641825,24.16401116,25.66846341,29.61530494,31.82308278,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Puerto Rico,..,..,11.43372551,12.91522669,14.8670866,15.08226812,15.51673593,16.31014462,16.56894979,17.99640114,18.67599019,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Qatar,..,..,7.812221786,9.255269225,8.332052171,8.613785532,9.028321679,9.936352783,9.904820108,10.11567936,10.76591884,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Romania,..,..,11.46098045,12.83512108,13.72551423,15.05415373,16.27847466,17.46782106,18.55741138,19.75111127,20.67787954,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Russian Federation,..,..,6.458930705,8.977676423,10.93178398,12.29436224,14.6143373,16.62447156,17.51313356,18.9175332,19.46634479,..
